label,e,s,m,mb,ttr_s1,ttr_s2,ttr_s3,median_ttr,n_dnf
e256_s32_m32_u4,256,32,32,256,267.1166396141052,224.81292033195496,255.6622588634491,255.6622588634491,0
e256_s32_m16_u4,256,32,16,512,355.46603059768677,266.6639914512634,283.78344917297363,283.78344917297363,0
e128_s32_m16_u4,128,32,16,256,400.40149545669556,258.51795649528503,297.3028955459595,297.3028955459595,0
e128_s64_m32_u4,128,64,32,256,304.22234749794006,253.27760672569275,331.42480754852295,304.22234749794006,0
e128_s32_m32_u4,128,32,32,128,318.7315604686737,472.84928464889526,315.39294362068176,318.7315604686737,0
e64_s32_m8_u4,64,32,8,256,310.60174322128296,368.1890161037445,325.5735981464386,325.5735981464386,0
e256_s64_m32_u4,256,64,32,512,338.2348403930664,345.1853504180908,318.9585211277008,338.2348403930664,0
e128_s64_m16_u4,128,64,16,512,352.1075463294983,330.32213258743286,385.37784004211426,352.1075463294983,0
e128_s128_m32_u4,128,128,32,512,354.07978916168213,254.55204725265503,376.48155307769775,354.07978916168213,0
e64_s128_m32_u4,64,128,32,256,322.6799237728119,363.6667802333832,355.38334035873413,355.38334035873413,0
e64_s64_m8_u4,64,64,8,512,353.83508038520813,370.31354784965515,361.6855821609497,361.6855821609497,0
e128_s32_m8_u4,128,32,8,512,372.43786692619324,438.04277658462524,378.1219255924225,378.1219255924225,0
e256_s64_m16_u4,256,64,16,1024,413.8517355918884,386.776531457901,363.1483807563782,386.776531457901,0
e64_s32_m4_u4,64,32,4,512,389.91788816452026,381.3637101650238,386.78867411613464,386.78867411613464,0
e64_s64_m32_u4,64,64,32,128,404.4681975841522,342.392639875412,389.38350343704224,389.38350343704224,0
e32_s128_m16_u4,32,128,16,256,394.0142822265625,447.9545969963074,396.7229859828949,396.7229859828949,0
e64_s64_m16_u4,64,64,16,256,277.2184524536133,419.5821797847748,410.3436748981476,410.3436748981476,0
e256_s32_m8_u4,256,32,8,1024,425.63811898231506,369.2328314781189,419.8040907382965,419.8040907382965,0
e128_s32_m4_u4,128,32,4,1024,410.06674313545227,426.64256978034973,461.9598035812378,426.64256978034973,0
e256_s128_m32_u4,256,128,32,1024,422.8624789714813,462.1531889438629,430.48720812797546,430.48720812797546,0
e32_s128_m32_u4,32,128,32,128,551.7259883880615,448.5048213005066,387.88215804100037,448.5048213005066,0
e32_s64_m16_u4,32,64,16,128,466.2209405899048,463.4476397037506,528.5152969360352,466.2209405899048,0
e128_s64_m8_u4,128,64,8,1024,416.6501741409302,475.50739312171936,469.5128872394562,469.5128872394562,0
e64_s128_m16_u4,64,128,16,512,370.16826844215393,500.8325583934784,469.5851502418518,469.5851502418518,0
e64_s32_m32_u4,64,32,32,64,404.03402376174927,548.9172012805939,476.9226665496826,476.9226665496826,0
e64_s32_m16_u4,64,32,16,128,477.10705280303955,559.8073766231537,446.584242105484,477.10705280303955,0
e64_s64_m4_u4,64,64,4,1024,434.12519550323486,478.63885951042175,552.0585372447968,478.63885951042175,0
e256_s32_m4_u4,256,32,4,2048,553.9117472171783,483.9275858402252,459.2761380672455,483.9275858402252,0
e32_s64_m8_u4,32,64,8,256,450.01024651527405,487.8294699192047,496.64903140068054,487.8294699192047,0
e128_s128_m16_u4,128,128,16,1024,542.3788261413574,489.86037278175354,494.0911421775818,494.0911421775818,0
e32_s32_m4_u4,32,32,4,256,513.1999359130859,513.3916828632355,410.8905770778656,513.1999359130859,0
e32_s64_m4_u4,32,64,4,512,514.1236464977264,509.17470145225525,616.7247304916382,514.1236464977264,0
e32_s128_m8_u4,32,128,8,512,487.1739411354065,540.4437801837921,543.6624958515167,540.4437801837921,0
e64_s128_m8_u4,64,128,8,1024,549.7003047466278,576.0744607448578,550.9196066856384,550.9196066856384,0
e256_s64_m8_u4,256,64,8,2048,603.3703508377075,515.1146306991577,558.3150744438171,558.3150744438171,0
e256_s128_m16_u4,256,128,16,2048,562.9947185516357,510.91054034233093,656.9292421340942,562.9947185516357,0
e128_s64_m4_u4,128,64,4,2048,596.2537775039673,608.555135011673,622.1413366794586,608.555135011673,0
e64_s128_m4_u4,64,128,4,2048,572.731942653656,672.934757232666,631.8838021755219,631.8838021755219,0
e32_s32_m8_u4,32,32,8,128,666.0539555549622,642.4737966060638,458.62196350097656,642.4737966060638,0
e128_s128_m8_u4,128,128,8,2048,660.9723765850067,619.811178445816,683.5855929851532,660.9723765850067,0
e32_s128_m4_u4,32,128,4,1024,608.9338603019714,682.4594733715057,704.6571078300476,682.4594733715057,0
e32_s64_m32_u4,32,64,32,64,754.4370522499084,615.2206563949585,695.5399534702301,695.5399534702301,0
e32_s32_m16_u4,32,32,16,64,707.3587734699249,665.1733446121216,783.1681923866272,707.3587734699249,0
e256_s64_m4_u4,256,64,4,4096,780.6617939472198,778.7824053764343,684.9701306819916,778.7824053764343,0
e256_s128_m8_u4,256,128,8,4096,855.5980858802795,770.5589425563812,819.7940595149994,819.7940595149994,0
e32_s32_m32_u4,32,32,32,32,,,,,3
e128_s128_m4_u4,128,128,4,4096,,,,,3
e256_s128_m4_u4,256,128,4,8192,,,,,3
